Age,Photos,# of Tags,Albums,Gender ,Emp,Profile,Cover,Orientation,Relationship,Posts,Replies,Children,Likes,Edu,Events,Friends
19,46,12,10,1,0,1,0,1,0,1,0,0,339,1,1,358
20,24,102,4,1,0,1,0,1,0,4,0,0,38,0,4,422
21,245,237,16,1,0,1,0,1,0,36,8,0,365,0,3,813
21,63,174,5,1,0,1,0,1,1,12,1,0,109,0,2,726
20,757,1020,43,0,1,1,1,1,0,31,11,0,303,0,1,677
46,24,48,11,1,1,1,0,1,1,2,0,1,82,0,0,330
19,134,128,8,0,0,1,1,1,0,138,4,0,2619,1,20,4951
20,226,718,14,1,0,1,1,1,1,10,6,0,1064,0,3,1015
20,1,1,2,1,0,1,0,1,0,2,0,0,2,0,0,43
20,48,397,6,1,1,1,1,1,1,2,0,0,324,0,0,405
15,44,30,6,1,0,1,1,1,0,6,5,0,139,1,3,542
22,104,903,17,1,0,1,0,1,0,18,8,0,156,0,6,1503
23,515,267,22,1,0,1,0,1,0,13,4,0,799,0,3,1134
21,200,184,15,1,1,1,0,1,1,37,25,0,1597,0,2,719
20,75,459,8,1,0,1,1,1,0,33,5,0,117,0,9,1703
46,283,103,35,1,1,1,1,1,1,25,63,1,114,0,0,500
20,161,573,13,0,0,1,1,1,1,9,6,0,30,0,4,710
22,197,190,5,1,1,1,1,1,0,55,92,0,18,1,10,569
23,1788,1602,22,0,1,1,1,1,0,128,225,0,12,0,4,1522
24,305,1,13,0,1,0,1,1,1,2,0,0,64,0,10,470
20,1222,1200,4,1,1,1,1,1,0,48,97,0,21,0,11,997
19,52,50,1,1,1,1,1,1,0,56,152,0,8,0,6,125
22,136,136,3,1,1,1,1,1,1,24,9,1,4,0,7,452
22,852,852,8,1,1,1,1,1,0,165,145,0,9,0,4,674
25,1395,730,35,1,1,1,0,1,0,203,250,0,13,1,4,852
29,289,287,3,0,1,1,1,1,0,9,12,0,8,1,4,328
52,48,48,2,0,1,1,1,1,0,15,10,3,7,0,3,247
17,27,27,1,1,1,1,1,1,1,2,3,0,0,1,1,95
20,2276,2253,31,0,1,1,0,1,1,175,145,0,5,1,1,1022
22,452,452,6,1,1,1,1,1,1,91,115,0,9,0,8,782
22,789,712,9,0,1,1,1,1,0,16,22,0,11,0,12,521
23,67,61,1,0,1,1,1,1,0,14,3,0,2,0,9,153
24,621,603,8,0,1,1,1,1,1,79,56,0,20,1,7,842
25,15,15,1,1,1,1,0,1,1,1,0,0,0,1,10,78
21,267,267,3,1,1,1,1,1,1,4,0,0,1,0,2,156
22,98,98,2,1,1,1,1,1,1,9,2,0,3,0,3,102
20,1784,1692,19,1,1,1,1,1,1,89,43,0,17,0,4,1356
